bairro_group,room_type,latitude,longitude,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365,price
Brooklyn,Private room,40.68811,-73.97621,3,0,0.0,1,0,105
Manhattan,Entire home/apt,40.7826,-73.98228,31,0,0.0,8,50,100
Manhattan,Private room,40.75996,-73.99798,1,0,0.0,1,0,89
Brooklyn,Entire home/apt,40.67432,-73.9391,133,12,0.71,2,0,60
Brooklyn,Entire home/apt,40.72379,-73.9416,2,1,0.06,1,0,225
Manhattan,Private room,40.83044,-73.94839,3,3,0.16,1,0,33
Brooklyn,Private room,40.69165,-73.94345,1,244,6.02,4,189,62
Brooklyn,Entire home/apt,40.70691,-73.95104,4,3,0.24,1,0,95
Brooklyn,Entire home/apt,40.67529,-74.01514,1,0,0.0,2,0,140
Queens,Private room,40.74907,-73.90083,5,7,0.38,1,0,30
Staten Island,Entire home/apt,40.63556,-74.07623,2,27,2.74,1,259,150
Queens,Private room,40.76566,-73.87215,1,11,7.5,5,78,70
Brooklyn,Entire home/apt,40.68233,-73.97778,3,2,0.07,1,0,180
Staten Island,Private room,40.60228,-74.08324,2,8,1.78,1,90,75
Queens,Private room,40.76561,-73.9248,2,53,1.33,1,39,89
Manhattan,Entire home/apt,40.75313,-73.98863,30,0,0.0,232,329,227
Queens,Private room,40.75125,-73.87644,1,108,3.91,1,306,51
Manhattan,Private room,40.73307,-73.9835,2,23,0.54,3,362,80
Queens,Private room,40.70893,-73.89636,30,0,0.0,23,243,34
Manhattan,Private room,40.79487,-73.96304,3,3,0.38,1,5,160
Staten Island,Entire home/apt,40.62493,-74.08318,7,0,0.0,1,16,100
Brooklyn,Private room,40.70657,-73.92181,5,1,0.04,1,0,53
Brooklyn,Entire home/apt,40.68274,-73.96367,1,5,0.14,1,0,261
Queens,Entire home/apt,40.72344,-73.91052,2,51,1.72,3,300,184
Queens,Entire home/apt,40.74801,-73.95032,2,2,0.11,1,0,160
Manhattan,Private room,40.72241,-73.99377,1,168,4.58,4,147,124
Manhattan,Private room,40.76635,-73.95683,5,1,0.03,2,0,60
Manhattan,Entire home/apt,40.7541,-73.97056,30,0,0.0,12,365,169
Brooklyn,Private room,40.68074,-73.92513,2,21,0.43,1,0,65
Brooklyn,Private room,40.68667,-73.9154,5,0,0.0,1,0,37
Brooklyn,Private room,40.70674,-73.94365,1,2,0.03,1,0,35
Brooklyn,Private room,40.68501,-73.97019,5,124,1.32,1,69,85
Brooklyn,Private room,40.70649,-73.92954,2,2,0.05,2,0,89
Bronx,Private room,40.83502,-73.91058,2,0,0.0,1,364,125
Queens,Private room,40.74516,-73.89278,30,2,0.25,15,0,35
Manhattan,Private room,40.78535,-73.94268,2,12,1.64,1,176,99
Manhattan,Entire home/apt,40.73507,-74.00048,3,13,0.15,1,83,225
Brooklyn,Entire home/apt,40.72074,-73.94371,3,0,0.0,3,0,95
Manhattan,Entire home/apt,40.75259,-73.9942,1,3,3.0,1,52,220
Brooklyn,Entire home/apt,40.66892,-73.99136,3,178,3.7,1,134,165
Staten Island,Private room,40.64123,-74.08169,2,0,0.0,2,356,85
Manhattan,Entire home/apt,40.7718,-73.94916,2,0,0.0,1,0,160
Manhattan,Entire home/apt,40.7666,-73.99256,7,6,0.14,1,0,98
Brooklyn,Private room,40.71295,-73.93716,4,2,0.04,1,0,50
Manhattan,Private room,40.79823,-73.96064,30,1,1.0,32,341,60
Manhattan,Private room,40.75948,-73.98631,5,19,0.51,1,88,169
Brooklyn,Entire home/apt,40.69509,-73.9367,10,2,0.06,1,0,75
Manhattan,Private room,40.72706,-73.98583,1,0,0.0,1,0,100
Brooklyn,Entire home/apt,40.64003,-73.955,2,9,1.79,1,0,95
Manhattan,Entire home/apt,40.72936,-73.99911,4,17,0.49,1,188,195
Manhattan,Entire home/apt,40.78587,-73.94764,2,67,1.76,2,283,650
Bronx,Private room,40.83556,-73.91098,4,42,1.85,2,77,70
Manhattan,Entire home/apt,40.72815,-73.98455,1,5,0.65,1,191,120
Manhattan,Entire home/apt,40.80328,-73.96898,30,14,0.31,5,91,238
Manhattan,Entire home/apt,40.81213,-73.9395,4,9,0.44,1,0,70
Manhattan,Private room,40.83298,-73.948,7,1,0.07,1,0,100
Manhattan,Private room,40.70525,-74.01045,1,9,0.25,1,90,145
Manhattan,Entire home/apt,40.71479,-73.99284,4,7,0.15,1,0,120
Manhattan,Private room,40.79265,-73.97108,1,1,0.02,2,0,89
Manhattan,Entire home/apt,40.74633,-73.99201,30,0,0.0,33,364,300
Manhattan,Private room,40.78353,-73.94592,2,1,0.14,1,0,90
Manhattan,Entire home/apt,40.70763,-74.00671,15,2,0.8,1,0,110
Manhattan,Entire home/apt,40.78338,-73.95008,1,126,2.7,1,338,159
Brooklyn,Private room,40.68358,-73.9627,3,2,0.15,1,0,59
Brooklyn,Entire home/apt,40.71417,-73.95917,30,53,0.6,1,0,200
Manhattan,Entire home/apt,40.82277,-73.9555,5,23,1.35,1,301,650
Queens,Private room,40.75966,-73.81469,1,11,3.79,6,126,65
Manhattan,Entire home/apt,40.73309,-74.00482,1,74,3.66,1,3,225
Queens,Entire home/apt,40.74657,-73.94555,5,1,0.03,1,0,120
Manhattan,Private room,40.71996,-73.98729,3,2,0.04,1,0,100
Brooklyn,Entire home/apt,40.68931,-73.94041,2,1,0.15,1,8,95
Brooklyn,Private room,40.63592,-74.00064,1,46,4.31,2,36,54
Manhattan,Private room,40.83503,-73.94166,2,73,2.13,2,136,60
Brooklyn,Entire home/apt,40.63524,-73.96602,30,4,0.07,1,47,115
Brooklyn,Private room,40.72563,-73.95656,2,15,6.92,1,65,65
Manhattan,Entire home/apt,40.77456,-73.95323,1,234,2.6,2,164,99
Manhattan,Private room,40.7902,-73.9463,1,4,0.78,2,60,69
Brooklyn,Entire home/apt,40.71593,-73.95642,3,4,0.11,2,0,210
Manhattan,Private room,40.72935,-73.9871,2,9,0.26,2,0,150
Brooklyn,Entire home/apt,40.68557,-73.98537,7,31,1.38,2,0,140
Manhattan,Private room,40.7216,-73.99558,2,6,0.16,1,0,100
Brooklyn,Entire home/apt,40.71126,-73.94576,3,116,1.23,2,135,220
Manhattan,Entire home/apt,40.70659,-74.01105,2,0,0.0,327,255,468
Manhattan,Private room,40.72986,-73.99468,2,4,0.08,1,0,75
Brooklyn,Private room,40.69862,-73.94046,1,1,0.7,1,0,63
Manhattan,Entire home/apt,40.81358,-73.94296,3,71,2.67,3,199,177
Manhattan,Entire home/apt,40.73455,-74.00614,4,16,0.27,1,0,115
Brooklyn,Private room,40.6995,-73.93334,2,61,1.95,1,26,30
Brooklyn,Private room,40.68817,-73.92319,3,33,1.03,4,146,39
Brooklyn,Entire home/apt,40.66505,-73.95998,2,1,0.05,1,0,150
Brooklyn,Entire home/apt,40.68413,-73.90731,3,45,1.1,1,129,150
Bronx,Private room,40.85711,-73.86474,5,30,0.98,2,318,45
Brooklyn,Entire home/apt,40.67947,-73.98458,31,114,1.38,2,110,109
Queens,Entire home/apt,40.7281,-73.84886,2,18,0.82,1,0,100
Manhattan,Private room,40.72717,-73.98064,3,2,0.09,1,0,99
Manhattan,Entire home/apt,40.76164,-73.9944,30,0,0.0,13,300,145
Queens,Private room,40.75518,-73.80422,1,154,3.05,3,243,50
Brooklyn,Private room,40.72522,-73.94124,1,199,5.07,1,114,89
Manhattan,Entire home/apt,40.77728,-73.97818,13,38,0.39,1,0,110
Manhattan,Entire home/apt,40.8233,-73.95122,3,0,0.0,2,326,125
Brooklyn,Entire home/apt,40.68252,-73.99619,5,6,0.06,1,0,350
Manhattan,Entire home/apt,40.74125,-73.99876,2,4,0.85,1,6,200
Manhattan,Entire home/apt,40.77119,-73.98769,3,1,1.0,1,14,250
Brooklyn,Entire home/apt,40.69531,-73.92248,5,77,1.96,2,275,148
Manhattan,Private room,40.80401,-73.96635,1,7,1.02,1,0,70
Manhattan,Private room,40.80113,-73.95287,4,35,1.24,1,0,70
Manhattan,Entire home/apt,40.73193,-73.98861,3,0,0.0,1,0,200
Manhattan,Entire home/apt,40.72299,-73.97756,3,9,0.19,1,8,148
Manhattan,Entire home/apt,40.71967,-73.9853,5,0,0.0,1,0,130
Manhattan,Entire home/apt,40.77942,-73.94772,1,16,1.1,1,0,160
Bronx,Entire home/apt,40.85152,-73.90374,90,2,0.16,7,93,48
Manhattan,Entire home/apt,40.794,-73.94585,2,6,0.14,1,0,100
Brooklyn,Private room,40.6413,-73.98233,1,2,0.03,1,0,70
Manhattan,Entire home/apt,40.70835,-74.00702,2,5,0.13,1,0,349
Bronx,Shared room,40.80977,-73.93038,1,16,1.7,7,0,28
Queens,Private room,40.75805,-73.90927,7,2,0.29,1,66,25
Brooklyn,Private room,40.71723,-73.96285,1,0,0.0,1,0,85
Manhattan,Entire home/apt,40.7631,-73.96393,3,19,0.41,1,0,151
Brooklyn,Private room,40.66921,-73.93521,2,0,0.0,1,16,59
Brooklyn,Private room,40.68366,-73.96563,7,10,0.28,1,0,65
Queens,Shared room,40.76048,-73.94068,5,16,0.77,5,88,45
Brooklyn,Private room,40.6599,-73.98279,20,6,0.32,1,311,65
Brooklyn,Entire home/apt,40.68496,-73.94964,2,26,2.26,1,315,108
Manhattan,Entire home/apt,40.80408,-73.96347,3,6,0.17,1,8,120
Brooklyn,Private room,40.64807,-73.96625,3,2,0.08,1,0,22
Brooklyn,Entire home/apt,40.69526,-73.96321,4,1,1.0,4,22,395
Manhattan,Shared room,40.78648,-73.97923,1,34,2.01,4,363,60
Manhattan,Private room,40.71959,-73.99604,2,2,0.04,2,0,99
Manhattan,Private room,40.72166,-73.98327,3,3,0.14,4,157,100
Brooklyn,Private room,40.58198,-73.9577,1,67,3.83,5,186,35
Brooklyn,Private room,40.69079,-73.95809,2,19,0.23,1,220,54
Brooklyn,Private room,40.68601,-73.91772,2,71,1.84,2,363,60
Manhattan,Private room,40.80303,-73.96336,1,48,5.54,3,7,80
Brooklyn,Private room,40.68891,-73.9548,5,0,0.0,2,0,45
Queens,Entire home/apt,40.76964,-73.92117,2,28,0.7,1,0,90
Queens,Private room,40.70911,-73.8296,9,2,0.17,4,276,73
Queens,Private room,40.70717,-73.89395,3,13,0.39,1,64,79
Brooklyn,Private room,40.71056,-73.94906,1,1,0.02,1,0,110
Manhattan,Private room,40.72286,-73.98025,2,0,0.0,2,0,100
Manhattan,Private room,40.81376,-73.95321,1,2,0.05,1,0,55
Manhattan,Private room,40.70877,-74.01466,1,0,0.0,4,362,270
Manhattan,Private room,40.82257,-73.95565,30,46,0.79,3,330,50
Manhattan,Entire home/apt,40.72246,-73.98455,1,1,0.5,1,0,230
Manhattan,Private room,40.74008,-74.00271,30,30,0.27,2,364,98
Brooklyn,Entire home/apt,40.69507,-73.94332,2,202,4.76,1,276,125
Brooklyn,Private room,40.70719,-73.94749,3,3,0.35,1,0,50
Bronx,Private room,40.88032,-73.85877,3,33,1.47,4,325,45
Manhattan,Entire home/apt,40.72158,-73.98998,3,18,0.3,1,0,150
Brooklyn,Private room,40.69136,-73.94761,2,3,2.65,1,0,64
Brooklyn,Private room,40.68487,-73.87254,3,0,0.0,3,364,125
Bronx,Entire home/apt,40.88017,-73.83574,2,0,0.0,13,359,475
Queens,Entire home/apt,40.745,-73.85927,1,64,9.5,1,329,99
Brooklyn,Entire home/apt,40.5864,-73.9432,1,42,6.09,1,57,69
Brooklyn,Private room,40.70285,-73.91934,1,10,0.99,1,247,89
Brooklyn,Private room,40.68015,-73.978,2,25,0.36,6,89,115
Brooklyn,Private room,40.64165,-74.00922,2,6,0.53,5,224,39
Brooklyn,Private room,40.70311,-73.98853,1,0,0.0,1,0,74
Brooklyn,Private room,40.62903,-73.89762,1,4,4.0,5,365,110
Brooklyn,Private room,40.70266,-73.93413,3,12,2.55,3,73,60
Brooklyn,Entire home/apt,40.71814,-73.95517,2,4,0.43,1,0,180
Manhattan,Private room,40.72778,-73.97825,1,8,0.21,1,0,75
Manhattan,Entire home/apt,40.74211,-73.97887,30,1,0.11,91,364,142
Manhattan,Private room,40.87663,-73.91041,1,2,0.05,1,0,50
Manhattan,Private room,40.79179,-73.93524,2,10,1.6,1,5,52
Brooklyn,Entire home/apt,40.67268,-73.94895,2,0,0.0,1,128,190
Queens,Entire home/apt,40.6934,-73.8951,2,12,1.31,1,361,160
Queens,Private room,40.74175,-73.91409,1,4,4.0,1,82,50
Brooklyn,Entire home/apt,40.69037,-73.94542,3,2,0.92,1,0,150
Manhattan,Entire home/apt,40.74825,-73.98853,1,3,0.51,17,200,120
Manhattan,Entire home/apt,40.82244,-73.94773,3,102,2.66,1,247,124
Queens,Private room,40.77329,-73.92832,2,35,0.42,1,144,100
Brooklyn,Private room,40.67982,-73.945,1,15,1.17,1,0,41
Brooklyn,Entire home/apt,40.68185,-73.95336,7,8,0.35,2,301,90
Brooklyn,Entire home/apt,40.63567,-73.91296,2,11,4.12,1,52,120
Brooklyn,Private room,40.69018,-73.92166,1,96,3.13,2,365,72
Queens,Entire home/apt,40.77179,-73.93442,4,0,0.0,1,0,200
